Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",13.1613,8.6779,21.1014,2.80133,30.78,30.78,0,0,,188.104,759.711,147.404,64.7503,58.5492,15.5709,55.1337,0.4368,7.5295,241.406,11.5502,2.63791,4.37855,0.745,0.31776,0.0725719,0.24518796056509018,0.211468,1.07673,0.299571,0.762357,0.470836,,2.67526,5.78926,5.78095,11.680000305175781,,,,,,,1105.2,5.87872340425532,1025,5.452127659574468,4.21,3.75,3.44,3.2,2.99,2.8,2.6,2.39,2.12,3.72,3.48,3.32,3.18,3.07,2.95,2.83,2.7,2.53,"Paul Skenes","33677",694973
"Jacob deGrom","TEX",11.1509,6.8543,16.502,2.88174,25.92,25.92,0,0,,152.018,602.766,116.364,52.7749,48.675,17.2286,30.1425,0.302,4.93,205.969,12.1941,1.78455,6.83316,1.02,0.341706,0.050007,0.29169877246022224,0.204976,0.963744,0.287768,0.765865,0.383545,,2.62215,5.12185,4.24303,47.29999923706055,,,,,,,921.1,6.059868421052632,846,5.565789473684211,4.34,3.82,3.49,3.22,3,2.78,2.57,2.35,2.07,3.78,3.52,3.35,3.21,3.09,2.96,2.84,2.7,2.52,"Jacob deGrom","10954",594798
"Tarik Skubal","DET",13.2864,9.4802,21.594,2.93009,32,32,0,0,,196.234,787.772,160.54,70.1382,63.887,20.0595,45.044,0.3017,7.9935,228.444,10.4773,2.06588,5.07157,0.92,0.289987,0.057179,0.23280810564756393,0.2185,1.04765,0.288916,0.763071,0.435306,,2.97792,4.98317,5.11827,14.319999694824219,,,,,,,1082.8000000000002,5.5244897959183685,1017,5.188775510204081,4.27,3.84,3.55,3.32,3.12,2.93,2.74,2.54,2.28,3.73,3.53,3.4,3.29,3.19,3.1,3,2.88,2.73,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",12.5071,8.2928,17.3915,3.03418,30.78,30.78,0,0,,170.138,684.11,133.015,62.5817,57.3589,16.6168,51.5525,0.3927,6.5394,220.45,11.6614,2.72703,4.27623,0.879,0.322244,0.075357,0.24688692390918732,0.212478,1.08481,0.299262,0.756248,0.440866,,2.86904,4.79903,4.86995,23.979999542236328,,,,,,,966.1000000000001,5.682941176470589,892,5.247058823529412,4.5,4,3.68,3.42,3.2,2.99,2.79,2.56,2.28,3.93,3.7,3.53,3.4,3.28,3.17,3.05,2.92,2.74,"Garrett Crochet","27463",676979
"Zack Wheeler","PHI",13.4143,9.482,20.5683,3.32705,32,32,0,0,,198.518,810.278,171.264,79.9485,73.3866,22.8737,50.9057,0.8184,8.6659,212.388,9.62882,2.30786,4.17219,1.037,0.262118,0.062825,0.199292853474617,0.228137,1.11914,0.287888,0.747956,0.425596,,3.42488,4.61217,4.75078,21.18000030517578,,,,,,,989.1000000000003,4.970351758793971,940,4.723618090452261,4.72,4.28,3.98,3.74,3.54,3.34,3.14,2.92,2.65,4.12,3.94,3.81,3.7,3.61,3.51,3.41,3.3,3.15,"Zack Wheeler","10310",554430
"Chris Sale","ATL",13.8277,7.8959,19.9598,3.07455,30.78,30.78,0,0,,186.772,754.94,152.752,69.5768,63.8045,19.4243,47.1913,0.5224,8.9808,230.02,11.084,2.27401,4.87419,0.936,0.304686,0.06251,0.24217580258846283,0.218601,1.07052,0.296729,0.754657,0.42585,,2.95763,4.51105,4.95285,34.959999084472656,,,,,,,1044.3,5.584491978609625,980,5.240641711229946,4.47,4.01,3.7,3.46,3.25,3.05,2.85,2.63,2.36,3.91,3.7,3.55,3.43,3.32,3.22,3.11,2.99,2.82,"Chris Sale","10603",519242
"Tyler Glasnow","LAD",10.5696,6.3742,14.7674,3.21609,24.3,24.3,0,0,,143.689,579.857,116.851,55.9528,51.3461,16.1091,40.6387,0.243,3.5586,178.101,11.1555,2.54542,4.38255,1.009,0.307147,0.070084,0.2370629385113716,0.218143,1.09605,0.295041,0.752476,0.449349,,3.06771,3.689,3.45013,93.26000213623047,,,,,,,785.6000000000001,5.455555555555557,733,5.090277777777778,4.78,4.25,3.9,3.62,3.38,3.16,2.94,2.7,2.4,4.1,3.87,3.72,3.6,3.48,3.37,3.26,3.13,2.96,"Tyler Glasnow","14374",607192
"Sonny Gray","STL",12.0331,9.6673,18.4976,3.41001,30.78,30.78,0,0,,184.766,764.441,164.493,76.5116,70.0058,19.6878,51.2933,0.4319,6.8303,197.247,9.60799,2.49852,3.84548,0.959,0.258028,0.0670991,0.19092904776334763,0.232889,1.16789,0.295894,0.739944,0.447403,,3.36033,3.67968,3.83759,114.41999816894531,,,,,,,916.6,4.954594594594595,885,4.783783783783784,4.88,4.41,4.1,3.85,3.63,3.42,3.21,2.98,2.69,4.26,4.06,3.92,3.81,3.7,3.6,3.5,3.38,3.22,"Sonny Gray","12768",543243
"Cole Ragans","KCR",11.9636,9.613,17.8257,3.50597,30.78,30.78,0,0,,182.633,763.514,156.171,77.2286,71.1449,19.3591,68.8858,0.5505,6.4845,207.066,10.2041,3.39464,3.00593,0.954,0.271201,0.0902221,0.18097898364067078,0.226945,1.23229,0.29631,0.74678,0.407633,,3.51498,3.64215,4.09902,47.84000015258789,,,,,,,903.9,4.939344262295082,857,4.683060109289618,4.99,4.51,4.18,3.93,3.7,3.49,3.28,3.04,2.75,4.37,4.16,4.01,3.89,3.78,3.67,3.56,3.44,3.27,"Cole Ragans","21846",666142
"Dylan Cease","SDP",12.4807,9.8963,18.4652,3.48454,32,32,0,0,,188.994,786.818,154.648,79.1134,73.1729,22.3852,70.5563,1.0111,6.4338,224.249,10.6789,3.35994,3.1783,1.066,0.285008,0.089673,0.1953350231051445,0.217866,1.1916,0.285545,0.75357,0.379245,,3.55527,3.63255,3.81944,45.959999084472656,,,,,,,942,4.984126984126984,876,4.634920634920635,4.91,4.44,4.13,3.88,3.67,3.46,3.26,3.03,2.74,4.28,4.09,3.95,3.84,3.74,3.64,3.54,3.43,3.27,"Dylan Cease","18525",656302
