Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"William Contreras","MIL",137.75,612.547,537.13,147.628,93.0051,29.7635,1.5105,23.3492,80.877,81.1238,65.9713,3.0627,127.729,4.2878,4.2658,0.8917,,6.6844,1.9295,0.274847,0.1077,0.208522,0.516492,0.356226,0.466294,0.354981,0.82252,0.191447,3.93851,0.318406,-0.747,-0.708958,93.7427,22.0882,128.221,-1.45596,-2.864,19.215749502182007,2.5389997959136963,4.83444,24.43000030517578,,,,,,,824.1,5.97173913,824.1,5.97173913,0.321,0.332,0.34,0.347,0.354,0.361,0.368,0.377,0.39,0.335,0.341,0.346,0.351,0.355,0.359,0.363,0.368,0.376,"William Contreras","20503",661388
"Cal Raleigh","SEA",127.55,554.126,490.818,110.001,59.9246,21.1505,0.7277,28.1981,66.9931,76.7174,55.0247,2.2165,152.595,3.8789,3.9024,0.5019,,3.3225,1.015,0.224118,0.0993,0.27538,0.360593,0.305089,0.442529,0.321914,0.747618,0.218411,3.16113,0.260579,-0.975,-0.66693,70.0543,5.23375,116.611,-1.64193,1.219,8.890085458755493,7.928000092506409,4.6689,85.93000030517578,,,,,,,634.7,4.95859375,634.7,4.95859375,0.286,0.298,0.306,0.314,0.321,0.328,0.336,0.345,0.359,0.302,0.308,0.313,0.317,0.322,0.326,0.33,0.335,0.343,"Cal Raleigh","21534",663728
"Adley Rutschman","BAL",126.38,569.992,494.992,129.744,85.093,25.1044,1.1594,18.3873,76.9422,64.2711,65.4921,2.85,89.2967,3.9899,3.8022,1.7156,,2.195,0.6818,0.262113,0.1149,0.156663,0.733421,0.35058,0.428954,0.339729,0.779534,0.166841,3.08581,0.28472,0.399,-1.03461,80.233,13.5564,125.387,-0.635611,-0.809,15.92167216539383,4.660999774932861,4.38078,63.43000030517578,,,,,,,688.4,5.463492063,688.4,5.463492063,0.306,0.317,0.325,0.332,0.339,0.345,0.353,0.362,0.375,0.32,0.327,0.331,0.335,0.339,0.343,0.348,0.353,0.36,"Adley Rutschman","26288",668939
"Patrick Bailey","SFG",111.93,459.378,415.117,99.6159,67.0341,20.1575,1.392,11.0323,45.8191,46.7712,37.5771,0,108.595,2.7563,3.0597,0.8677,,3.3076,0.9329,0.23997,0.0817999,0.236395,0.346031,0.305226,0.374964,0.299005,0.68019,0.134994,3.48642,0.296713,-0.069,-0.5637,49.6057,-4.13152,92.8843,-0.6327,-0.529,-4.541557967662811,8.799000084400177,4.27631,305.8399963378906,,,,,,,438,3.910714285,438,3.910714285,0.262,0.274,0.282,0.29,0.297,0.305,0.313,0.324,0.338,0.275,0.283,0.289,0.294,0.298,0.303,0.309,0.315,0.324,"Patrick Bailey","27478",672275
"Alejandro Kirk","TOR",102.23,417.003,368.072,100.716,69.9552,19.0746,0.8644,10.8222,46.9778,46.6974,41.1999,0.834,51.9718,4.17,2.7526,0.8085,,1.0119,0.2989,0.273632,0.0988,0.124632,0.792736,0.351005,0.418359,0.337019,0.769364,0.144727,2.49386,0.291835,-2.314,-0.822289,57.7886,9.00835,122.205,-3.13629,-0.377,7.45853066444397,7.497000068426132,3.94829,256.0299987792969,,,,,,,498.7,4.889215686,498.7,4.889215686,0.298,0.311,0.32,0.328,0.336,0.343,0.352,0.363,0.378,0.313,0.321,0.327,0.332,0.336,0.341,0.346,0.353,0.361,"Alejandro Kirk","22581",672386
"Austin Wells","NYY",101.97,454.306,399.846,93.2386,55.3174,19.5823,0.8799,17.459,59.1248,50.5366,44.9763,0.4543,101.521,4.9974,2.8098,1.6762,,4.554,1.1385,0.233186,0.099,0.223464,0.443025,0.3164,0.417554,0.320235,0.733955,0.184369,3.98693,0.267134,-0.018,-0.377716,56.8209,3.67706,109.044,-0.395716,-1.534,4.305727571249008,6.077000021934509,3.53933,194.74000549316406,,,,,,,501,4.911764705,501,4.911764705,0.281,0.294,0.303,0.311,0.319,0.327,0.335,0.346,0.361,0.296,0.304,0.31,0.315,0.32,0.325,0.33,0.336,0.345,"Austin Wells","27562",669224
"Gabriel Moreno","ARI",107.32,421.519,372.674,105.528,73.6949,21.001,1.3127,9.5193,50.1868,48.0126,40.4659,0.4215,68.7212,3.7937,3.1197,1.4658,,4.9332,1.5239,0.283164,0.0960001,0.163032,0.588842,0.356591,0.42319,0.341366,0.779782,0.140027,3.9317,0.32266,-0.873,-0.558169,59.8891,10.5806,117.795,-1.43117,3.546,7.538270115852356,11.615000247955322,3.42314,186.86000061035156,,,,,,,517.1,4.83271028,517.1,4.83271028,0.302,0.315,0.324,0.332,0.34,0.348,0.357,0.367,0.382,0.316,0.325,0.331,0.336,0.341,0.346,0.351,0.358,0.367,"Gabriel Moreno","22664",672515
"Will Smith","LAD",113.17,475.239,414.981,104.042,63.5638,20.2332,1.8458,18.3991,59.6073,61.4624,48.3318,3.3267,83.9922,8.0791,3.123,0.724,,2.2251,0.6349,0.250715,0.1017,0.176737,0.575432,0.33814,0.441379,0.337243,0.779519,0.190664,3.60578,0.271268,-0.694,-0.732754,65.9445,10.3519,118.352,-1.42675,0.977,9.002837300300598,9.475000143051147,3.05414,104.93000030517578,,,,,,,575,5.088495575,575,5.088495575,0.301,0.313,0.321,0.329,0.336,0.343,0.351,0.361,0.375,0.318,0.324,0.329,0.333,0.337,0.341,0.345,0.35,0.357,"Will Smith","19197",669257
"Yainer Diaz","HOU",127.12,532.44,500.108,141.004,92.6425,26.2222,2.0637,20.0758,63.8382,74.1881,23.3741,0.5324,94.6204,4.2595,3.9124,0.7859,,1.63,0.4979,0.281948,0.0439,0.177711,0.24703,0.317195,0.463063,0.334793,0.780257,0.181115,3.07746,0.310611,-1.336,-0.820721,72.8316,10.5479,120.836,-2.15672,0.098,10.536895275115967,4.583000130951405,2.94509,58.900001525878906,,,,,,,649.2,5.111811023,649.2,5.111811023,0.298,0.31,0.319,0.326,0.334,0.341,0.349,0.359,0.373,0.313,0.32,0.325,0.33,0.334,0.339,0.344,0.349,0.357,"Yainer Diaz","23003",673237
"Bo Naylor","CLE",101.09,398.388,349.095,77.2463,45.792,15.3437,1.3737,14.7369,44.7147,46.4814,41.7113,1.1952,104.38,3.5855,2.8186,1.1775,,6.9087,1.9034,0.221276,0.1047,0.262004,0.399612,0.308509,0.399742,0.30937,0.708251,0.178466,4.61244,0.268514,0.02,-0.0986274,46.3432,-0.259497,102.651,-0.0786274,-3.169,1.1298047825694084,5.254999876022339,2.67208,289.45001220703125,,,,,,,418.1,4.13960396,418.1,4.13960396,0.269,0.282,0.291,0.3,0.308,0.316,0.325,0.336,0.351,0.286,0.293,0.299,0.304,0.309,0.314,0.319,0.325,0.334,"Bo Naylor","21865",666310
"Shea Langeliers","ATH",112.22,474.414,429,99.1805,54.7086,17.7505,1.9644,24.757,58.0697,68.4178,37.4313,1.4232,128.014,4.2697,3.1511,0.5626,,3.9197,1.3205,0.23119,0.0789,0.269835,0.292401,0.297311,0.454851,0.32229,0.752162,0.223661,4.0077,0.266388,-0.683,-0.500544,60.1204,4.62437,114.466,-1.18354,1.006,6.669126391410828,10.051999568939209,2.63826,124.63999938964844,,,,,,,551.8,4.926785714,551.8,4.926785714,0.284,0.296,0.305,0.313,0.321,0.329,0.337,0.348,0.363,0.301,0.308,0.313,0.318,0.322,0.326,0.331,0.336,0.344,"Shea Langeliers","25816",669127
"Francisco Alvarez","NYM",84.33,337.556,299.378,71.1866,42.1185,12.5545,1.0954,15.4182,41.8847,44.9876,31.1227,0.3376,78.8263,3.7131,2.4021,0.9403,,1.9829,0.579,0.237782,0.0922,0.23352,0.394826,0.314965,0.441537,0.327459,0.756502,0.203755,3.52024,0.268717,-0.52,-0.44261,44.1813,4.6946,113.582,-0.96261,-5.259,4.519911050796509,1.134000301361084,2.59077,173.33999633789062,,,,,,,389,4.63095238,389,4.63095238,0.283,0.297,0.308,0.317,0.326,0.335,0.345,0.357,0.374,0.303,0.311,0.317,0.322,0.327,0.332,0.337,0.344,0.353,"Francisco Alvarez","26121",682626
"Iván Herrera","STL",91.18,373.076,320.431,83.107,56.494,16.0636,1.3295,9.2199,41.732,39.2409,45.0676,0,78.2492,4.4769,2.4215,0.6792,,5.0443,1.4145,0.25936,0.1208,0.209741,0.57595,0.35621,0.40411,0.336348,0.76032,0.14475,3.92943,0.313901,0.657,-0.400922,51.4996,7.85793,117.52,0.256078,-3.166,8.072136014699936,3.8010001182556152,2.54614,234.52000427246094,,,,,,,435.2,4.782417582,435.2,4.782417582,0.296,0.309,0.318,0.327,0.335,0.343,0.352,0.363,0.379,0.311,0.32,0.326,0.331,0.336,0.341,0.346,0.353,0.362,"Ivan Herrera","20599",671056
