Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",139.14,624.685,508.461,140.187,72.573,22.7055,0.703,44.2053,107.022,103.697,104.322,14.3677,161.131,6.2468,4.2736,1.3811,,7.5178,1.9267,0.275708,0.167,0.25794,0.647437,0.402302,0.583947,0.411672,0.986249,0.308239,3.84009,0.312239,0.087,-0.608805,124.104,51.0292,173.363,-0.521805,0.344,51.91593557596207,-7.749000400304794,6.71214,3.1600000858306885,,,,,,,1101.6,7.925179856,1101.6,7.925179856,0.376,0.388,0.396,0.404,0.411,0.418,0.426,0.435,0.448,0.393,0.399,0.404,0.408,0.411,0.415,0.419,0.424,0.431,"Aaron Judge","15640",592450
"Yordan Alvarez","HOU",134.99,597.688,511.143,154.945,87.0624,30.682,2.2329,34.9675,93.7171,100.993,72.2007,11.3561,101.871,9.563,4.2469,0.5341,,3.3645,0.9937,0.303134,0.1208,0.170442,0.708748,0.396395,0.577128,0.408485,0.973523,0.273994,3.67974,0.316938,-0.723,-0.972375,117.207,47.2908,172.673,-1.69537,-0.557,48.00410735607147,-13.926999866962433,5.57714,17.09000015258789,,,,,,,1036.2,7.675555555,1036.2,7.675555555,0.373,0.384,0.393,0.4,0.408,0.415,0.423,0.432,0.445,0.389,0.396,0.4,0.404,0.408,0.412,0.416,0.421,0.428,"Yordan Alvarez","19556",670541
"Shohei Ohtani","LAD",145.46,668.606,573.947,161.401,85.0643,29.5176,4.5713,42.248,119.825,101.621,82.6397,11.3663,154.277,5.3488,4.0892,2.581,,33.1771,8.3982,0.281213,0.1236,0.230744,0.535658,0.374445,0.5694,0.395411,0.943845,0.288187,6.75416,0.312319,0.388,1.958,124.078,45.8661,157.504,2.346,0,48.32144212722778,-16.969999313354492,5.53741,1.5299999713897705,,,,,,,1142.2,7.877241379,1142.2,7.877241379,0.361,0.372,0.38,0.388,0.394,0.401,0.409,0.418,0.431,0.377,0.383,0.388,0.391,0.395,0.399,0.403,0.408,0.414,"Shohei Ohtani","19755",660271
"Adley Rutschman","BAL",126.38,569.992,494.992,129.744,85.093,25.1044,1.1594,18.3873,76.9422,64.2711,65.4921,2.85,89.2967,3.9899,3.8022,1.7156,,2.195,0.6818,0.262113,0.1149,0.156663,0.733421,0.35058,0.428954,0.339729,0.779534,0.166841,3.08581,0.28472,0.399,-1.03461,80.233,13.5564,125.387,-0.635611,-0.809,15.92167216539383,4.660999774932861,4.38078,63.43000030517578,,,,,,,688.4,5.463492063,688.4,5.463492063,0.306,0.317,0.325,0.332,0.339,0.345,0.353,0.362,0.375,0.32,0.327,0.331,0.335,0.339,0.343,0.348,0.353,0.36,"Adley Rutschman","26288",668939
"Manny Machado","SDP",137.92,595.722,541.515,144.633,89.2388,26.8992,0.5476,27.9472,76.2989,89.0969,47.5386,4.1701,117.671,2.3829,3.8471,0.4385,,6.785,2.0381,0.267089,0.0797999,0.197527,0.403995,0.326826,0.473613,0.342033,0.800439,0.206524,3.46724,0.291901,-0.667,-0.533843,84.9597,15.2733,123.555,-1.20084,-0.498,15.579207062721252,0.613999992609024,3.72124,38.220001220703125,,,,,,,774.9,5.615217391,774.9,5.615217391,0.308,0.319,0.327,0.334,0.341,0.348,0.355,0.365,0.378,0.323,0.329,0.334,0.338,0.342,0.346,0.35,0.355,0.362,"Manny Machado","11493",592518
"Mark Vientos","NYM",140.13,586.96,530.044,132.422,76.7973,24.0038,1.1577,30.4636,74.9165,86.3153,46.3111,0.587,165.533,5.2826,4.3597,0.9622,,1.1082,0.3635,0.249833,0.0788999,0.282017,0.27977,0.314022,0.471909,0.33723,0.785931,0.222076,2.56912,0.30129,-1.197,-0.934263,81.4409,12.7794,120.159,-2.13126,-0.91,12.018260717391968,0.39299994707107544,3.30051,104.33999633789062,,,,,,,721.4,5.152857142,721.4,5.152857142,0.301,0.312,0.321,0.329,0.336,0.343,0.351,0.361,0.375,0.315,0.322,0.328,0.332,0.337,0.341,0.346,0.352,0.36,"Mark Vientos","22184",668901
"Brandon Lowe","TBR",109.06,489.478,432.483,103.971,59.2178,19.1018,1.7606,23.8912,66.8024,64.7962,46.5004,1.4684,124.425,5.8737,3.2887,1.3322,,5.3464,1.3871,0.240406,0.095,0.2542,0.373721,0.320284,0.458441,0.335346,0.778726,0.218035,4.52663,0.278583,0.72,-0.361646,67.1729,9.91468,123.73,0.358354,-1.719,13.648611903190613,-0.5709999799728394,3.03581,224.72000122070312,,,,,,,608.2,5.579816513,608.2,5.579816513,0.297,0.309,0.318,0.326,0.334,0.342,0.35,0.36,0.375,0.313,0.321,0.326,0.33,0.335,0.339,0.344,0.35,0.358,"Brandon Lowe","18882",664040
"Royce Lewis","MIN",114.2,484.247,434.746,110.498,64.4576,21.6074,0.7786,23.6542,61.6221,69.4515,41.3547,1.4527,113.643,3.874,3.6164,0.6552,,4.8276,1.4502,0.254166,0.0854001,0.234679,0.363901,0.322021,0.470677,0.340039,0.792697,0.216511,3.6347,0.288454,0,-0.476046,68.284,11.6378,123.657,-0.476046,-0.294,12.631662428379059,0.08700001239776611,2.98073,129.08999633789062,,,,,,,617.8,5.419298245,617.8,5.419298245,0.3,0.312,0.322,0.331,0.339,0.347,0.356,0.367,0.383,0.314,0.322,0.329,0.334,0.34,0.345,0.351,0.358,0.368,"Royce Lewis","20437",668904
"Yainer Diaz","HOU",127.12,532.44,500.108,141.004,92.6425,26.2222,2.0637,20.0758,63.8382,74.1881,23.3741,0.5324,94.6204,4.2595,3.9124,0.7859,,1.63,0.4979,0.281948,0.0439,0.177711,0.24703,0.317195,0.463063,0.334793,0.780257,0.181115,3.07746,0.310611,-1.336,-0.820721,72.8316,10.5479,120.836,-2.15672,0.098,10.536895275115967,4.583000130951405,2.94509,58.900001525878906,,,,,,,649.2,5.111811023,649.2,5.111811023,0.298,0.31,0.319,0.326,0.334,0.341,0.349,0.359,0.373,0.313,0.32,0.325,0.33,0.334,0.339,0.344,0.349,0.357,"Yainer Diaz","23003",673237
"Brent Rooker","ATH",136.34,607.971,535.129,133.196,74.1231,23.4802,1.5531,34.0398,85.2969,86.9617,59.5204,3.0399,181.73,7.9036,4.0942,1.3242,,7.5515,2.3069,0.248905,0.0979,0.298912,0.327522,0.330703,0.489419,0.350662,0.820122,0.240514,4.23796,0.306555,0.024,-0.517167,90.9288,19.8095,134.424,-0.493167,-0.144,23.453481018543243,-15.463999688625336,2.91827,66.26000213623047,,,,,,,821.1,6.0375,821.1,6.0375,0.315,0.326,0.335,0.342,0.35,0.357,0.365,0.374,0.388,0.33,0.337,0.342,0.346,0.35,0.354,0.359,0.364,0.372,"Brent Rooker","19627",667670
"Vinnie Pasquantino","KCR",127.66,563.923,500.396,135.879,81.5461,29.6533,1.8908,22.7888,73.0722,79.0707,54.0238,1.6918,78.362,5.0753,4.0209,0.4063,,1.7943,0.539,0.271543,0.0958,0.138959,0.689413,0.346003,0.474984,0.35337,0.820987,0.203441,3.0626,0.280436,-1.077,-0.956117,85.5699,19.6033,127.889,-2.03312,0.835,15.962421417236328,-10.371000349521637,2.51895,114.05000305175781,,,,,,,754.2,5.8921875,754.2,5.8921875,0.317,0.329,0.337,0.345,0.352,0.36,0.368,0.377,0.391,0.331,0.339,0.344,0.349,0.353,0.357,0.362,0.368,0.376,"Vinnie Pasquantino","27676",686469
"Kyle Schwarber","PHI",141.03,628.01,524.307,119.497,62.7337,18.9541,0.7965,37.0125,91.2934,88.8186,92.6943,3.7681,180.414,5.6521,3.8836,1.4733,,5.0628,1.4447,0.227914,0.1476,0.287279,0.513787,0.347694,0.478882,0.355782,0.826576,0.250969,3.50709,0.265424,-0.76,-0.814125,96.5138,23.0504,128.543,-1.57413,-0.381,19.860755681991577,-16.435000866651535,2.51369,76.23999786376953,,,,,,,854.7,6.061702127,854.7,6.061702127,0.322,0.333,0.341,0.348,0.355,0.362,0.369,0.378,0.391,0.337,0.344,0.348,0.352,0.355,0.359,0.363,0.368,0.375,"Kyle Schwarber","16478",656941
"Luis Arraez","SDP",134.43,619.944,570.944,175.645,134.709,29.7489,2.1158,9.0715,79.6325,55.4013,37.1346,4.3396,38.1962,5.5795,3.6737,2.6119,,7.6836,2.2052,0.30764,0.0598999,0.0616123,0.972207,0.353714,0.414822,0.333883,0.768536,0.107182,4.29569,0.315869,0.434,-0.722447,84.3476,11.8277,118.07,-0.288447,1.481,13.107280731201172,-11.621000289916992,2.28564,193.8300018310547,,,,,,,736.2,5.49402985,736.2,5.49402985,0.303,0.313,0.32,0.327,0.333,0.339,0.346,0.354,0.366,0.315,0.321,0.326,0.33,0.334,0.337,0.342,0.346,0.353,"Luis Arraez","18568",650333
"Willson Contreras","STL",107.18,469.842,403.556,100.16,59.5664,20.4227,0.6612,19.5101,59.784,62.1547,50.2731,1.4095,113.924,12.2159,3.3732,0.4238,,4.7695,1.6758,0.248195,0.107,0.242473,0.441287,0.346492,0.447115,0.3454,0.793607,0.19892,3.64706,0.294888,-0.648,-0.676998,68.2802,13.319,123.612,-1.325,2.26,11.941272497177124,-7.418999910354614,2.08295,75.05000305175781,,,,,,,597.6,5.585046728,597.6,5.585046728,0.308,0.32,0.329,0.337,0.344,0.352,0.36,0.37,0.385,0.324,0.331,0.336,0.341,0.345,0.349,0.354,0.36,0.367,"Willson Contreras","11609",575929
"Christopher Morel","TBR",105.39,433.05,383.264,89.282,52.0715,15.523,2.2014,19.4862,52.1387,56.9278,41.1397,1.2991,117.969,4.7635,2.9356,0.947,,7.9329,2.7728,0.232952,0.0949999,0.272414,0.348734,0.312854,0.43747,0.324301,0.750324,0.204518,4.87912,0.280592,0.45,-0.299426,55.5793,4.922,115.961,0.150574,1.617,8.059003189206123,-4.146999955177307,1.89493,268.42999267578125,,,,,,,496.6,4.729523809,496.6,4.729523809,0.286,0.298,0.307,0.315,0.323,0.331,0.339,0.35,0.365,0.303,0.31,0.315,0.32,0.324,0.328,0.333,0.338,0.346,"Christopher Morel","21897",666624
"Christian Yelich","MIL",101.23,457.582,392.959,104.973,69.9865,19.1958,2.1326,13.6581,63.1818,50.5794,56.6487,4.1182,99.2222,3.6607,3.0266,1.2869,,17.4265,3.8253,0.267135,0.1238,0.21684,0.570928,0.362227,0.431109,0.345018,0.793336,0.163974,5.63702,0.322547,0.673,0.940181,66.3578,12.8308,121.515,1.61318,-1.071,13.38582730293274,-10.411999583244324,1.88087,115.27999877929688,,,,,,,597.2,5.912871287,597.2,5.912871287,0.309,0.32,0.329,0.337,0.344,0.351,0.359,0.369,0.383,0.324,0.331,0.336,0.34,0.345,0.349,0.353,0.359,0.366,"Christian Yelich","11477",592885
