Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Vladimir Guerrero Jr.","TOR",143.1,640.517,561.951,167.997,101.58,33.0119,0.8343,32.5707,96.9908,96.8609,66.4857,8.3267,91.5981,6.4052,4.3827,1.2921,,4.7787,1.534,0.298954,0.1038,0.143007,0.725842,0.376844,0.534548,0.386357,0.911392,0.235594,3.20606,0.306281,-1.883,-0.976824,114.198,39.2719,156.91,-2.85982,-2.382,38.84888195991516,-13.86400032043457,4.78556,13.09000015258789,,,,,,,1010.3,7.065034965,1010.3,7.065034965,0.352,0.363,0.371,0.379,0.385,0.392,0.4,0.409,0.422,0.367,0.373,0.378,0.382,0.386,0.39,0.394,0.399,0.406,"Vladimir Guerrero Jr.","19611",665489
"Bryce Harper","PHI",138.93,621.074,530.235,148.818,84.9764,34.1087,0.7601,28.9727,93.2536,88.2646,81.0502,9.3161,133.831,4.3475,4.2618,1.18,,9.8722,2.9822,0.280664,0.1305,0.215484,0.605615,0.377832,0.511783,0.378115,0.889614,0.231118,3.84679,0.322431,-1.379,-0.504508,106.612,33.9595,143.574,-1.88351,1.675,30.478373527526855,-10.097000360488892,4.24097,22.760000228881836,,,,,,,946.9,6.812230215,946.9,6.812230215,0.344,0.355,0.363,0.37,0.377,0.384,0.392,0.401,0.414,0.358,0.365,0.37,0.374,0.378,0.382,0.386,0.391,0.398,"Bryce Harper","11579",547180
"Freddie Freeman","LAD",144.97,643.767,558.886,160.953,101.293,33.6854,2.3341,23.6407,91.127,89.3324,70.6213,8.369,107.474,9.0127,4.5432,0.704,,10.3399,2.5527,0.287989,0.1097,0.166945,0.657102,0.374126,0.483513,0.3673,0.857639,0.195524,4.45422,0.317621,0.155,-0.327779,104.904,29.5971,138.583,-0.172779,-0.175,29.529527857899666,-12.40900020301342,3.98225,26.43000030517578,,,,,,,928.8,6.405517241,928.8,6.405517241,0.335,0.345,0.353,0.36,0.366,0.373,0.38,0.389,0.401,0.348,0.355,0.359,0.363,0.367,0.371,0.375,0.38,0.387,"Freddie Freeman","5361",518692
"Yandy Díaz","TBR",130.76,604.636,531.333,154.987,107.631,28.9589,0.8311,17.5659,84.5891,61.8589,61.0682,0,90.8579,6.0464,3.5444,2.6442,,2.5607,0.6848,0.291694,0.101,0.150269,0.672129,0.368944,0.448505,0.357131,0.817449,0.156811,2.94152,0.322241,-1.826,-1.14437,93.578,22.8489,139.054,-2.97037,-0.89,24.04824924468994,-12.301999688148499,3.29478,197.39999389648438,,,,,,,799.9,6.10610687,799.9,6.10610687,0.324,0.335,0.343,0.35,0.356,0.363,0.37,0.379,0.391,0.337,0.344,0.349,0.353,0.357,0.361,0.365,0.37,0.377,"Yandy Diaz","16578",650490
"Matt Olson","ATL",143.16,627.137,542.153,136.541,76.213,27.0592,1.2484,32.0208,86.3737,94.4701,74.5666,5.0171,151.477,5.6442,4.2596,0.514,,0.7435,0.2297,0.25185,0.1189,0.241538,0.492262,0.345905,0.483554,0.35513,0.829459,0.231703,2.39854,0.288004,-0.426,-1.1393,96.0505,22.6892,127.5,-1.5653,0.483,19.05818808078766,-11.447000294923782,2.94295,35.400001525878906,,,,,,,854.9,5.978321678,854.9,5.978321678,0.322,0.332,0.34,0.347,0.354,0.361,0.368,0.377,0.39,0.337,0.343,0.347,0.351,0.355,0.359,0.362,0.367,0.374,"Matt Olson","14344",621566
"Christian Walker","HOU",129.06,555.999,489.376,119.309,66.8464,24.191,0.8162,27.4558,72.3196,82.6635,55.4887,3.336,127.776,7.228,3.5331,0.3731,,4.606,1.4545,0.243799,0.0998,0.229814,0.434265,0.327606,0.464878,0.340405,0.792484,0.221079,3.51625,0.272016,0.139,-0.664119,78.566,13.5263,124.784,-0.525119,3.595,15.241921842098236,-7.252999544143677,2.73928,101.73999786376953,,,,,,,699.2,5.420155038,699.2,5.420155038,0.305,0.316,0.325,0.332,0.339,0.346,0.354,0.364,0.377,0.321,0.327,0.332,0.336,0.34,0.344,0.348,0.353,0.361,"Christian Walker","13419",572233
"Vinnie Pasquantino","KCR",127.66,563.923,500.396,135.879,81.5461,29.6533,1.8908,22.7888,73.0722,79.0707,54.0238,1.6918,78.362,5.0753,4.0209,0.4063,,1.7943,0.539,0.271543,0.0958,0.138959,0.689413,0.346003,0.474984,0.35337,0.820987,0.203441,3.0626,0.280436,-1.077,-0.956117,85.5699,19.6033,127.889,-2.03312,0.835,15.962421417236328,-10.371000349521637,2.51895,114.05000305175781,,,,,,,754.2,5.8921875,754.2,5.8921875,0.317,0.329,0.337,0.345,0.352,0.36,0.368,0.377,0.391,0.331,0.339,0.344,0.349,0.353,0.357,0.362,0.368,0.376,"Vinnie Pasquantino","27676",686469
"Pete Alonso","NYM",143.42,627.856,546.285,130.465,71.6947,23.0599,0.7385,34.9721,84.8794,95.7506,64.8575,5.6507,146.623,11.9293,4.3067,0.4772,,3.7204,1.0616,0.238822,0.1033,0.23353,0.442342,0.330346,0.475792,0.344825,0.806138,0.23697,3.07152,0.258791,-1.538,-0.813156,90.9532,17.5078,125.271,-2.35116,-1.207,16.622211933135986,-13.411000490188599,2.491,49.209999084472656,,,,,,,819.2,5.728671328,819.2,5.728671328,0.311,0.322,0.33,0.337,0.344,0.351,0.358,0.367,0.38,0.326,0.333,0.337,0.341,0.345,0.348,0.352,0.357,0.364,"Pete Alonso","19251",624413
"Luis Arraez","SDP",134.43,619.944,570.944,175.645,134.709,29.7489,2.1158,9.0715,79.6325,55.4013,37.1346,4.3396,38.1962,5.5795,3.6737,2.6119,,7.6836,2.2052,0.30764,0.0598999,0.0616123,0.972207,0.353714,0.414822,0.333883,0.768536,0.107182,4.29569,0.315869,0.434,-0.722447,84.3476,11.8277,118.07,-0.288447,1.481,13.107280731201172,-11.621000289916992,2.28564,193.8300018310547,,,,,,,736.2,5.49402985,736.2,5.49402985,0.303,0.313,0.32,0.327,0.333,0.339,0.346,0.354,0.366,0.315,0.321,0.326,0.33,0.334,0.337,0.342,0.346,0.353,"Luis Arraez","18568",650333
"Paul Goldschmidt","NYY",136.13,592.818,527.73,133.925,83.6936,26.5343,0.7959,22.9013,74.134,77.8287,56.3178,2.3713,154.044,4.1497,3.9255,0.6958,,7.5044,1.7717,0.253776,0.0950001,0.259851,0.365595,0.328298,0.43726,0.331408,0.765558,0.183484,3.6903,0.312999,-0.136,-0.335735,79.4759,10.1291,116.904,-0.471735,-0.679,10.994079679250717,-12.172000050544739,1.91931,176.52999877929688,,,,,,,712.2,5.236764705,712.2,5.236764705,0.297,0.308,0.316,0.324,0.33,0.337,0.345,0.354,0.367,0.311,0.318,0.323,0.327,0.331,0.335,0.34,0.345,0.352,"Paul Goldschmidt","9218",502671
"Josh Naylor","ARI",129.86,566.905,509.912,137.46,85.2873,29.3932,0.6624,22.1169,72.0866,80.4454,47.0531,6.236,89.9994,5.669,3.8935,0.3776,,6.8109,2.069,0.269576,0.083,0.158756,0.522816,0.335698,0.459939,0.340298,0.795637,0.190364,3.58594,0.287145,-1.27,-0.51579,80.0583,13.7428,117.076,-1.78579,1.187,9.79013442993164,-10.28100037574768,1.89903,104.0199966430664,,,,,,,720.5,5.542307692,720.5,5.542307692,0.306,0.317,0.325,0.332,0.339,0.346,0.354,0.363,0.376,0.32,0.327,0.332,0.336,0.34,0.344,0.348,0.354,0.361,"Josh Naylor","18839",647304
"Triston Casas","BOS",114.54,487.846,415.012,102.41,58.3742,20.5521,1.1989,22.2845,63.9104,68.5392,65.7616,4.3906,126.869,3.4149,3.1698,0.4877,,1.5866,0.526,0.246763,0.1348,0.26006,0.518342,0.352074,0.463151,0.351128,0.815225,0.216388,2.95352,0.297832,-0.815,-0.867745,73.1458,16.0785,124.986,-1.68274,-0.736,12.26425850391388,-10.902999818325043,1.82015,128.60000610351562,,,,,,,637.6,5.544347826,637.6,5.544347826,0.312,0.324,0.334,0.342,0.35,0.358,0.366,0.377,0.392,0.327,0.335,0.341,0.346,0.351,0.356,0.361,0.367,0.376,"Triston Casas","22514",671213
"Jake Cronenworth","SDP",126.28,534.963,472.653,114.396,73.3031,24.2368,3.6049,13.2511,59.2671,58.9061,48.0397,0.535,102.235,9.6293,3.9305,0.7103,,4.1475,1.2883,0.242029,0.0898,0.191106,0.469895,0.322066,0.392668,0.314022,0.714734,0.150639,4.22997,0.280104,0.797,-0.721734,64.2334,1.65445,104.701,0.0752655,-0.99,3.0827988609671593,-3.3420000076293945,1.8131,286.8999938964844,,,,,,,558.8,4.434920634,558.8,4.434920634,0.281,0.292,0.299,0.306,0.313,0.32,0.327,0.336,0.348,0.295,0.301,0.306,0.31,0.314,0.317,0.322,0.327,0.333,"Jake Cronenworth","18036",630105
