Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mason Miller","OAK",3.966099977493286,2.5933001041412354,0,2.576000071283597,67,0,29.868999481201172,2.065500020980835,,67,267.3580017089844,44.95624542236328,20.87198829650879,19.176889419555664,5.981611251831055,22.67354393005371,1.6060194969177246,2.5631611347198486,99.40567016601562,13.3530004700618,3.0456999309027375,4.384214063433363,0.803500018902679,0.37180735018440697,0.08480592982114507,0.2870014203632619,0.18567654330888947,1.0093998410808507,0.2850397840362505,0.7890875031462681,0.37099999733186073,,2.489759198231484,,,46.310001373291016,,,,,,,586.0481661319732,8.746987554208555,537.9472763538361,8.029063826176658,4.37,3.64,3.2,2.86,2.57,2.32,2.07,1.82,1.52,3.44,3.19,3.02,2.89,2.76,2.65,2.53,2.39,2.22,"Mason Miller","31757",695243
"Félix Bautista","BAL",3.5624001026153564,2.3117001056671143,0,2.7291998863220215,60,0,25.530000686645508,3.513400077819824,,60,242.71800231933594,40.842159271240234,19.839332580566406,18.194665908813477,5.384666442871094,23.478666305541992,1.2708714008331299,2.2453842163085938,87.26266479492188,13.089399719238282,3.5217999458312987,3.7166789484257916,0.8076999664306641,0.3595228370416188,0.09673228224189113,0.2627905547997277,0.18821796152805736,1.072013759613037,0.28515043407510887,0.7833690926048764,0.3860000021688883,,2.7106045405069987,,,63.790000915527344,,,,,,,510.63577041625973,8.510596173604329,469.0561180114746,7.81760196685791,4.68,3.88,3.4,3.03,2.72,2.45,2.18,1.91,1.58,3.65,3.39,3.21,3.06,2.93,2.81,2.68,2.54,2.36,"Felix Bautista","20666",642585
"Jhoan Duran","MIN",3.7476000785827637,2.615999937057495,0,2.7191999288705677,65,0,22.45800018310547,5.107699871063232,,65,264.2279968261719,51.51917266845703,21.9461669921875,19.6386661529541,4.6771111488342285,20.74077796936035,1.92754328250885,3.2854108810424805,80.3233871459961,11.121699758676382,2.871800026526818,3.872727786038456,0.6476000052232008,0.3039927188292563,0.07849576206341648,0.22549695676583986,0.21448286797930413,1.1116915482741137,0.3018148597838526,0.7656712236948714,0.5330000008951028,,2.7393141966599686,,,67.76000213623047,,,,,,,510.8106920719146,7.85862603187561,485.486563205719,7.469024049318754,4.69,3.93,3.46,3.1,2.8,2.53,2.27,2,1.68,3.67,3.42,3.26,3.12,3,2.89,2.77,2.63,2.46,"Jhoan Duran","21029",661395
"Edwin Díaz","NYM",3.715399980545044,2.648200035095215,0,3.042899938730093,65,0,35.888999938964844,1.4916000366210938,,65,265.739990234375,47.67109680175781,23.874500274658203,21.976499557495117,6.101333141326904,24.390888214111328,1.323385238647461,3.1314802169799805,88.0439453125,12.190700120192307,3.3771999065692606,3.609706400997822,0.8447999734144944,0.33131613060890003,0.09178478629655729,0.23953134431234274,0.20011574475847904,1.1086459233210637,0.28853395935679865,0.7586176756217063,0.4009999921621708,,2.9479650937593904,,,39.40999984741211,,,,,,,560.9409358501434,8.629860551540668,524.6148543357849,8.070997759012075,5.04,4.25,3.76,3.38,3.07,2.78,2.5,2.21,1.86,3.98,3.72,3.54,3.4,3.27,3.14,3.01,2.87,2.68,"Edwin Diaz","14710",621242
"Emmanuel Clase","CLE",3.595900058746338,2.8652000427246094,0,3.100699944929643,66,0,34.30099868774414,1.527400016784668,,66,269.9389953613281,60.288177490234375,25.21419906616211,22.738466262817383,5.4838666915893555,15.896466255187988,1.6714622974395752,2.1873157024383545,66.33439636230469,9.045599503950639,2.167699943889271,4.172902033535643,0.7478000033985485,0.2457384724037832,0.05888910653279159,0.1868493658709916,0.2393763332331649,1.154312784021551,0.3044059049665165,0.7440155498714461,0.5230000074898015,,3.0584922046372385,,,34.279998779296875,,,,,,,520.2312185764314,7.882291190551991,514.7417733669281,7.7991177782867895,5.18,4.39,3.9,3.52,3.2,2.91,2.63,2.34,1.98,4.07,3.83,3.66,3.53,3.41,3.29,3.17,3.03,2.85,"Emmanuel Clase","21032",661403
"Aroldis Chapman","BOS",3.6398000717163086,2.5280001163482666,0,2.8880999428885326,63,0,9.991000175476074,9.766799926757812,,63,262.281005859375,42.861961364746094,22.185100555419922,20.216699600219727,5.5370001792907715,32.967899322509766,1.3908761739730835,2.453638792037964,91.83930206298828,13.119900294712611,4.7096999032156805,2.7857189554168045,0.7910000256129673,0.350156130300297,0.125696861709406,0.22445926859089102,0.1889361805827626,1.2036485823373946,0.2882611113235471,0.7879889613199423,0.4180000081739045,,3.080241882233393,,,283.1000061035156,,,,,,,453.08998861312875,7.191904581160774,409.45518803596497,6.4992886989835705,4.88,4.09,3.61,3.24,2.93,2.65,2.38,2.09,1.76,3.8,3.55,3.39,3.26,3.13,3.02,2.9,2.76,2.59,"Aroldis Chapman","10233",547973
"Ryan Helsley","STL",3.6774001121520996,2.7839999198913574,0,3.05169998515736,66,0,34.564998626708984,1.9333000183105469,,66,270.3810119628906,49.95559310913086,24.28580093383789,22.379133224487305,6.639599800109863,24.680334091186523,1.7509874105453491,2.079500198364258,85.43920135498047,11.650800184770064,3.3655001033436167,3.4618332571718002,0.905399972742254,0.31599556764254905,0.09127983474880204,0.22471573289374702,0.20505439463934436,1.1308473818229907,0.2858341957162369,0.7705808176249842,0.378999997954253,,3.101569135261305,,,52.84000015258789,,,,,,,548.0054734230042,8.303113233681882,514.8422956466675,7.800640843131325,5.03,4.25,3.76,3.39,3.08,2.79,2.51,2.23,1.88,3.96,3.71,3.54,3.4,3.28,3.15,3.03,2.89,2.71,"Ryan Helsley","18138",664854
"Orion Kerkering","PHI",3.5376999378204346,2.6301000118255615,0,3.0952001299176897,63,0,5.214000225067139,10.537500381469727,,63,259.0459899902344,52.06824493408203,23.795799255371094,21.666400909423828,5.691699981689453,20.040300369262695,1.3498886823654175,3.3220059871673584,73.76460266113281,10.53780038016183,2.862900052751814,3.680813226446001,0.8130999973842076,0.28475485246428106,0.07736194013278562,0.20739291233149543,0.2209242665053706,1.144580084180075,0.2968528606075114,0.7532370052396046,0.4669999953171493,,3.1117149133530875,,,308.5,,,,,,,406.4769423007965,6.4520149571555,386.6701891422272,6.137622049876621,5.19,4.37,3.87,3.48,3.15,2.86,2.57,2.27,1.91,4.1,3.83,3.64,3.49,3.36,3.23,3.1,2.95,2.75,"Orion Kerkering","31776",689147
"Justin Martinez","ARI",3.8433001041412354,2.716200113296509,0,2.951999977453431,67,0,17.025999069213867,8.845100402832031,,67,280.3349914550781,51.270469665527344,24.417034149169922,21.97599983215332,4.936410903930664,31.915077209472656,2.039156675338745,3.067425489425659,85.84635925292969,11.531600496662197,4.287099923660506,2.689837116466376,0.6630999721697907,0.3062277698811139,0.11384621321732803,0.19238155666378587,0.20896657672169616,1.2415753264925373,0.2997615521427279,0.7704863034394639,0.5059999888961668,,3.1280936789156786,,,185.39999389648438,,,,,,,489.0345321178436,7.2990228674305015,458.08226561546326,6.837048740529302,4.98,4.21,3.73,3.36,3.05,2.76,2.49,2.21,1.86,3.93,3.68,3.51,3.37,3.24,3.12,3,2.86,2.68,"Justin Martinez","24453",679885
"Griffin Jax","MIN",3.8225998878479004,3.030100107192993,0,3.1638001033238004,70,0,8.045000076293945,10.894599914550781,,70,286.5329895019531,58.86820602416992,26.881555557250977,24.60733413696289,7.015555381774902,20.148332595825195,2.029226779937744,2.9679088592529297,80.92466735839844,10.404600088936942,2.5904999051775253,4.016444883144638,0.9019999776567732,0.28242705141582597,0.07031767138173756,0.2121093800340884,0.22347935907892358,1.1288076945713588,0.29549622407764137,0.7534527505386746,0.442999996751557,,3.147931344168527,,,294.1199951171875,,,,,,,454.95534353256227,6.499362050465176,435.1017904281616,6.215739863259452,5.16,4.4,3.92,3.55,3.23,2.95,2.67,2.38,2.02,4.09,3.85,3.68,3.55,3.42,3.3,3.18,3.05,2.86,"Griffin Jax","20253",643377
