Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ketel Marte","ARI",133.41,605.273,530.358,148.077,88.9186,30.4068,3.9698,24.7816,90.7406,78.6709,63.5536,4.8422,109.36,5.4475,3.9587,1.9552,,7.4531,2.0292,0.279202,0.105,0.180679,0.581142,0.359807,0.491683,0.364312,0.85149,0.212481,4.88912,0.308103,-0.194,-0.539371,97.1748,26.3712,133.238,-0.733371,-1.022,23.32430124282837,-0.3619999289512634,4.45318,32.40999984741211,,,,,,,858.3,6.453383458,858.3,6.453383458,0.33,0.341,0.349,0.356,0.363,0.37,0.378,0.387,0.4,0.345,0.351,0.356,0.36,0.364,0.368,0.372,0.377,0.384,"Ketel Marte","13613",606466
"Marcus Semien","TEX",133.71,619.347,555.039,142.346,90.3959,27.089,2.6132,22.2483,85.3477,65.5143,53.6355,1.2387,94.6896,4.3354,3.6277,2.71,,10.6249,2.3165,0.256462,0.0866,0.152886,0.566435,0.324854,0.434937,0.329332,0.759791,0.178475,5.1175,0.271882,0.601,0.0255856,81.9975,9.54747,115.467,0.626586,4.201,11.58738386631012,6.242000102996826,3.97368,104.12000274658203,,,,,,,731.7,5.460447761,731.7,5.460447761,0.297,0.307,0.315,0.322,0.328,0.335,0.342,0.351,0.363,0.311,0.317,0.322,0.325,0.329,0.333,0.337,0.341,0.348,"Marcus Semien","12533",543760
"Andrés Giménez","TOR",139.85,592.067,541.182,143.002,99.1529,28.7173,2.3513,12.7806,67.9334,64.3496,30.7283,1.7762,98.9823,14.8017,4.2695,1.0855,,25.4812,5.7458,0.26424,0.0519,0.167181,0.310442,0.319015,0.396842,0.312275,0.715857,0.132602,5.747,0.300265,0.071,1.64127,70.2575,0.998571,104.799,1.71227,6.3,4.963341474533081,8.682000160217285,3.44764,169,,,,,,,646.2,4.615714285,646.2,4.615714285,0.279,0.29,0.298,0.305,0.311,0.318,0.325,0.334,0.347,0.292,0.299,0.304,0.308,0.312,0.316,0.321,0.326,0.333,"Andres Gimenez","19950",665926
"Matt McLain","CIN",114.06,515.424,452.317,117.675,69.7958,24.5058,2.5026,20.8711,73.7628,64.2718,50.9239,1.0308,128.232,7.2159,3.4511,1.5156,,14.9398,4.5638,0.260161,0.0988001,0.248789,0.397123,0.342114,0.463833,0.348265,0.805947,0.203672,5.73066,0.315667,-0.046,0.138006,76.0929,15.7997,117.598,0.0920056,1.993,10.938582316040993,3.26800000667572,3.2399,92.5199966430664,,,,,,,684.3,6.002631578,684.3,6.002631578,0.307,0.32,0.33,0.339,0.347,0.355,0.364,0.375,0.391,0.32,0.329,0.336,0.342,0.348,0.353,0.359,0.367,0.377,"Matt McLain","29695",680574
"Jordan Westburg","BAL",121.48,514.884,468.459,124.239,75.4532,26.4527,3.5499,18.7836,63.6183,70.4011,36.1964,0,114.21,6.1786,3.4,0.6505,,7.1442,2.2933,0.265209,0.0703001,0.221817,0.316928,0.324005,0.457122,0.336906,0.781127,0.191913,5.03786,0.311203,0.005,-0.429911,71.306,11.0758,123.401,-0.424911,-0.834,13.36164703965187,0.4010000228881836,3.19403,90.23999786376953,,,,,,,636.9,5.263636363,636.9,5.263636363,0.3,0.312,0.32,0.328,0.336,0.343,0.351,0.361,0.376,0.314,0.322,0.327,0.332,0.336,0.341,0.346,0.352,0.36,"Jordan Westburg","27815",676059
"Xander Bogaerts","SDP",131.7,551.599,497.425,134.408,93.6856,24.0505,1.3259,15.346,63.242,62.2066,44.0176,0,96.8486,5.516,3.6306,1.0096,,11.9377,2.8917,0.270208,0.0798,0.175578,0.454499,0.334081,0.416441,0.328088,0.750523,0.146234,4.33803,0.306181,0.507,0.0860366,72.4757,7.95069,114.169,0.593037,-3.256,9.93889045715332,2.61299991607666,3.19342,154.8300018310547,,,,,,,634.1,4.803787878,634.1,4.803787878,0.295,0.305,0.313,0.32,0.327,0.334,0.341,0.35,0.363,0.308,0.315,0.32,0.324,0.328,0.332,0.336,0.341,0.348,"Xander Bogaerts","12161",593428
"Nico Hoerner","CHC",123.97,546.14,494.205,137.41,101.061,26.6451,1.8049,7.8986,66.5086,50.1265,37.9567,1.0923,61.4297,8.7382,3.4321,1.8079,,25.8675,5.9108,0.278042,0.0695,0.11248,0.617888,0.338221,0.387208,0.318989,0.725429,0.109167,5.76804,0.302377,1.141,1.62206,67.759,3.87263,106.914,2.76306,3.084,7.278239488601685,5.150000095367432,3.16187,202.41000366210938,,,,,,,611.7,4.933064516,611.7,4.933064516,0.287,0.297,0.305,0.312,0.318,0.325,0.332,0.34,0.353,0.299,0.306,0.311,0.315,0.319,0.323,0.327,0.332,0.339,"Nico Hoerner","21479",663538
"Brandon Lowe","TBR",109.06,489.478,432.483,103.971,59.2178,19.1018,1.7606,23.8912,66.8024,64.7962,46.5004,1.4684,124.425,5.8737,3.2887,1.3322,,5.3464,1.3871,0.240406,0.095,0.2542,0.373721,0.320284,0.458441,0.335346,0.778726,0.218035,4.52663,0.278583,0.72,-0.361646,67.1729,9.91468,123.73,0.358354,-1.719,13.648611903190613,-0.5709999799728394,3.03581,224.72000122070312,,,,,,,608.2,5.579816513,608.2,5.579816513,0.297,0.309,0.318,0.326,0.334,0.342,0.35,0.36,0.375,0.313,0.321,0.326,0.33,0.335,0.339,0.344,0.35,0.358,"Brandon Lowe","18882",664040
"Jose Altuve","HOU",129.06,597.61,536.001,144.219,95.846,27.9718,0.858,19.5436,83.6728,62.0483,48.8845,1.1952,103.073,6.5737,3.4945,2.6556,,16.6838,4.1709,0.269065,0.0818001,0.172476,0.47427,0.335618,0.433838,0.334508,0.769457,0.164773,4.82472,0.299069,-0.568,0.462795,81.6091,11.7019,120.635,-0.105205,-1.057,14.005123853683472,-4.580999970436096,3.03076,61.209999084472656,,,,,,,734.4,5.693023255,734.4,5.693023255,0.301,0.312,0.32,0.327,0.333,0.34,0.348,0.356,0.369,0.315,0.321,0.326,0.33,0.334,0.338,0.342,0.347,0.355,"Jose Altuve","5417",514888
"Ozzie Albies","ATL",135.85,575.83,525.411,140.247,87.3459,30.4481,2.1455,20.3071,72.5251,72.6716,39.0989,0.5758,91.8418,6.3341,3.7455,1.2411,,10.5406,2.8528,0.266928,0.0679,0.159495,0.42572,0.323152,0.448996,0.333357,0.772147,0.182068,4.6758,0.28762,1.117,-0.090685,78.1016,10.7421,112.846,1.02631,-3.133,9.871678590774536,-0.8689999580383301,2.9102,68.55000305175781,,,,,,,692.9,5.094852941,692.9,5.094852941,0.299,0.31,0.318,0.325,0.332,0.339,0.347,0.356,0.369,0.313,0.32,0.325,0.329,0.333,0.337,0.342,0.347,0.354,"Ozzie Albies","16556",645277
