Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Gunnar Henderson","BAL",145.79,665.006,580.005,160.033,91.7131,29.3335,5.1603,33.8261,104.981,88.8192,72.4192,0.665,141.405,5.9851,4.0415,2.5559,,17.4607,4.3925,0.275917,0.1089,0.212637,0.51214,0.359932,0.519246,0.376187,0.879179,0.24333,5.92688,0.308714,1.49,0.375759,113.121,35.3298,151.032,1.86576,-1.629,40.6966233253479,5.4100000858306885,7.05128,7.659999847412109,,,,,,,1003.3,6.871917808,1003.3,6.871917808,0.342,0.353,0.361,0.368,0.375,0.382,0.39,0.399,0.412,0.355,0.362,0.367,0.372,0.376,0.38,0.385,0.39,0.398,"Gunnar Henderson","26289",683002
"Bobby Witt Jr.","KCR",138.51,627.438,568.716,168.984,99.6262,33.3866,7.2396,28.7317,99.7685,89.3857,46.3677,5.0195,97.7622,6.2744,4.1592,1.9213,,33.0141,9.973,0.297133,0.0739,0.155812,0.474291,0.354309,0.532859,0.375723,0.887167,0.235726,7.28507,0.314199,1.675,1.40154,106.496,33.0999,143.614,3.07654,4.545,34.387610912323,11.47100019454956,6.89633,1.6200000047683716,,,,,,,976.3,7.023741007,976.3,7.023741007,0.341,0.352,0.361,0.368,0.375,0.382,0.389,0.399,0.412,0.356,0.363,0.367,0.371,0.375,0.379,0.384,0.389,0.396,"Bobby Witt Jr.","25764",677951
"Mookie Betts","LAD",140.33,640.395,553.673,154.421,91.4813,32.2272,3.178,27.5343,102.061,83.4178,74.606,3.202,88.6431,5.7636,4.0838,2.2684,,14.2708,3.3257,0.278902,0.1165,0.138419,0.841645,0.367937,0.497779,0.371591,0.865716,0.218877,5.33428,0.287347,0.397,0.176182,106.566,31.6535,141.471,0.573182,-4.149,32.331337571144104,2.4819998741149902,5.79792,12.739999771118164,,,,,,,942.7,6.733571428,942.7,6.733571428,0.338,0.349,0.357,0.364,0.371,0.377,0.385,0.394,0.406,0.353,0.359,0.363,0.368,0.371,0.375,0.379,0.384,0.391,"Mookie Betts","13611",605141
"Francisco Lindor","NYM",142.75,654.299,578.474,149.383,91.2648,29.5605,2.0937,26.4644,94.9609,77.4673,59.6066,1.3086,124.546,9.8145,4.0085,2.3952,,22.5259,5.1472,0.258237,0.0910999,0.19035,0.478593,0.335639,0.453822,0.341787,0.789462,0.195585,5.65334,0.284883,0.694,1.16266,93.184,16.6454,123.226,1.85666,2.747,20.029288291931152,9.641999959945679,5.31468,14.600000381469727,,,,,,,838.9,5.866433566,838.9,5.866433566,0.31,0.32,0.328,0.334,0.341,0.347,0.354,0.363,0.375,0.323,0.33,0.334,0.338,0.341,0.345,0.349,0.354,0.361,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP",128.51,581.601,520.243,145.199,81.3745,29.3088,1.3393,33.1767,91.249,86.8793,49.3198,0,121.633,6.3976,3.8543,1.7863,,16.3973,3.972,0.279099,0.0848,0.209135,0.405481,0.346519,0.531899,0.37467,0.878418,0.2528,5.08921,0.303348,1.059,0.588788,98.2232,30.1886,145.522,1.64779,2.183,33.307392716407776,-4.60699987411499,4.96438,11.140000343322754,,,,,,,876.2,6.792248062,876.2,6.792248062,0.337,0.349,0.358,0.366,0.373,0.381,0.389,0.4,0.414,0.352,0.359,0.365,0.37,0.374,0.379,0.384,0.39,0.398,"Fernando Tatis Jr.","19709",665487
"Elly De La Cruz","CIN",142.67,631.48,561.931,143.01,82.0985,29.4578,6.6057,24.8485,88.3888,83.1406,59.1697,1.8944,182.628,5.0518,4.3602,0.967,,50.9281,14.0312,0.254498,0.0937001,0.289206,0.323991,0.328672,0.463091,0.34024,0.791763,0.208593,7.77525,0.329311,0.65,3.36303,89.1477,15.2784,112.197,4.01303,3.778,13.22311782836914,10.911999940872192,4.66444,4.590000152587891,,,,,,,847.5,5.926573426,847.5,5.926573426,0.305,0.317,0.325,0.332,0.339,0.346,0.354,0.363,0.377,0.318,0.325,0.331,0.335,0.34,0.344,0.349,0.355,0.363,"Elly De La Cruz","26668",682829
"Corey Seager","TEX",113.6,514.117,452.263,128.656,76.7313,25.2787,0.5343,26.1116,78.3294,72.2376,52.2343,8.74,87.1964,4.6271,3.4327,1.5596,,2.3432,0.6999,0.284471,0.1016,0.169604,0.599042,0.361944,0.515934,0.371244,0.877878,0.231463,2.99964,0.299497,-1.167,-0.800214,85.4087,25.2683,144.949,-1.96721,-1.798,24.474274039268494,1.9399999380111694,4.49802,47.40999984741211,,,,,,,765,6.710526315,765,6.710526315,0.334,0.346,0.355,0.363,0.37,0.378,0.386,0.396,0.41,0.352,0.358,0.363,0.367,0.371,0.375,0.379,0.384,0.391,"Corey Seager","13624",608369
"Marcus Semien","TEX",133.71,619.347,555.039,142.346,90.3959,27.089,2.6132,22.2483,85.3477,65.5143,53.6355,1.2387,94.6896,4.3354,3.6277,2.71,,10.6249,2.3165,0.256462,0.0866,0.152886,0.566435,0.324854,0.434937,0.329332,0.759791,0.178475,5.1175,0.271882,0.601,0.0255856,81.9975,9.54747,115.467,0.626586,4.201,11.58738386631012,6.242000102996826,3.97368,104.12000274658203,,,,,,,731.7,5.460447761,731.7,5.460447761,0.297,0.307,0.315,0.322,0.328,0.335,0.342,0.351,0.363,0.311,0.317,0.322,0.325,0.329,0.333,0.337,0.341,0.348,"Marcus Semien","12533",543760
"Masyn Winn","STL",147.06,663.061,604.277,159.605,106.658,30.9407,4.3588,17.6468,85.1625,66.1694,47.9393,0.6631,110.341,3.9784,4.0217,2.8454,,15.2638,3.6739,0.264125,0.0722999,0.166411,0.434465,0.320384,0.417364,0.320519,0.737748,0.153239,5.5798,0.295554,1.366,0.318491,83.0817,5.51807,106.866,1.68449,1.321,7.128147840499878,8.674000144004822,3.91244,151.33999633789062,,,,,,,747.2,5.082993197,747.2,5.082993197,0.287,0.298,0.306,0.313,0.319,0.326,0.334,0.342,0.355,0.298,0.306,0.311,0.316,0.32,0.324,0.329,0.335,0.343,"Masyn Winn","27479",691026
"Trea Turner","PHI",135.41,619.521,569.782,158.581,104.541,31.3029,1.7921,20.9454,86.7264,70.6574,37.9766,0.6195,118.8,5.5757,3.8413,2.3449,,21.7539,3.9296,0.278319,0.0612999,0.19176,0.319669,0.327514,0.449829,0.335706,0.777343,0.17151,5.75778,0.317222,1.214,1.59534,85.1986,12.7282,115.03,2.80934,-4.167,13.943877220153809,2.6040000915527344,3.83972,24.399999618530273,,,,,,,781.7,5.79037037,781.7,5.79037037,0.303,0.314,0.321,0.328,0.335,0.341,0.349,0.357,0.37,0.317,0.323,0.328,0.332,0.335,0.339,0.343,0.348,0.355,"Trea Turner","16252",607208
