Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",13.405599594116211,8.421199798583984,21.49180030822754,2.68600002352443,30.780000686645508,30.780000686645508,0,0,,188.10440063476562,753.6229858398438,141.79415893554688,62.20194625854492,56.13871383666992,16.022314071655273,54.575355529785156,0.43333321809768677,7.469157695770264,248.53607177734375,11.891399873941502,2.6111999406210935,4.553998217046927,0.7665999634154552,0.32978833773278965,0.07241731814876363,0.25737101958402603,0.20502974651530145,1.043938971138769,0.2945337907090582,0.771351609575543,0.4709999832555289,,2.6207800466508155,,,11.640000343322754,,,,,,,1137.171892261505,6.04542949778992,1043.1705241203308,5.54569973163898,4.06,3.61,3.31,3.07,2.87,2.68,2.49,2.28,2.02,3.58,3.35,3.19,3.06,2.94,2.83,2.71,2.58,2.41,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",12.958000183105469,7.818299770355225,18.25830078125,2.7782000007712884,30.780000686645508,30.780000686645508,0,0,,170.13819885253906,679.4650268554688,127.79377746582031,57.6314811706543,52.519771575927734,16.276554107666016,46.30405807495117,0.3900129199028015,6.495006084442139,227.7791290283203,12.049099938054795,2.449400108177655,4.9192044606461955,0.8609999868163528,0.33523304368213197,0.06814781665694276,0.2670852270251892,0.2039264697192411,1.0232730610464749,0.29146426354872795,0.7697167835480173,0.4330000001347424,,2.6635600180250028,,,24.09000015258789,,,,,,,1023.7183001518249,6.016980942880996,936.2568564414978,5.502919760264792,4.18,3.7,3.39,3.15,2.93,2.74,2.54,2.33,2.06,3.64,3.41,3.26,3.13,3.02,2.91,2.79,2.67,2.5,"Garrett Crochet","27463",676979
"Jacob deGrom","TEX",11.169500350952148,6.835400104522705,16.54360008239746,2.867099931253017,25.920000076293945,25.920000076293945,0,0,,152.0175018310547,601.0969848632812,115.3445053100586,52.58623123168945,48.42770767211914,16.336814880371094,33.366153717041016,0.3011496067047119,4.916372299194336,200.2222442626953,11.853899561952534,1.975400067994169,6.000758911580398,0.9672000404712857,0.3330947406236543,0.055508769062666496,0.2775859715609878,0.20494232779013477,0.9782469599610303,0.28593832908983113,0.7638676206136213,0.38838838617547816,,2.6848357823686424,,,47.43000030517578,,,,,,,909.6878871917725,5.984099700590779,833.3058261871338,5.481643995921153,4.33,3.81,3.48,3.21,2.98,2.77,2.56,2.34,2.06,3.76,3.51,3.34,3.2,3.08,2.95,2.83,2.69,2.51,"Jacob deGrom","10954",594798
"Tyler Glasnow","LAD",10.753999710083008,6.180500030517578,15.105999946594238,3.089399944312151,24.299999237060547,24.299999237060547,0,0,,143.6885986328125,579.156005859375,116.23660278320312,53.99817657470703,49.32350540161133,14.585988998413086,39.32118225097656,0.2426663637161255,3.5542802810668945,178.06689453125,11.153300025401474,2.4628999351795136,4.528523415056464,0.9135999810338485,0.3074592902943779,0.06789393851252601,0.2395653517818519,0.21674588837778394,1.0826035364969921,0.29581615707141556,0.7515285045553975,0.45500000876024294,,2.902787704962363,,,92.86000061035156,,,,,,,809.180199432373,5.631485080456411,756.332537651062,5.263692073327432,4.63,4.1,3.76,3.49,3.26,3.04,2.82,2.58,2.29,3.96,3.74,3.59,3.47,3.35,3.25,3.13,3.01,2.84,"Tyler Glasnow","14374",607192
"Tarik Skubal","DET",13.261300086975098,9.50730037689209,21.54050064086914,2.9453000690258953,32,32,0,0,,196.23399353027344,787.77197265625,161.03634643554688,70.41094207763672,64.21866607666016,20.85967445373535,43.68169021606445,0.301716685295105,7.993522644042969,235.43283081054688,10.797800315713573,2.003400149342271,5.389737202155326,0.9567000431790915,0.2988591102279285,0.055449662760628925,0.24340944746729956,0.21877062260149724,1.0432343192364835,0.29215387453906666,0.7652193999761066,0.4379999886107047,,2.9388726530476466,,,14.359999656677246,,,,,,,1092.7030786514283,5.568367941728988,1025.834222793579,5.227607125242149,4.29,3.85,3.56,3.33,3.13,2.95,2.76,2.55,2.29,3.74,3.55,3.42,3.31,3.21,3.11,3.01,2.9,2.75,"Tarik Skubal","22267",669373
"Chris Sale","ATL",13.829400062561035,7.894899845123291,20.067800521850586,3.042600134016367,30.780000686645508,30.780000686645508,0,0,,186.7720947265625,754.0250244140625,151.4232940673828,68.92928314208984,63.141422271728516,19.662952423095703,46.18873977661133,0.521785318851471,8.969881057739258,227.021484375,10.939500155878584,2.2257000361755956,4.915082885416962,0.9475000645409228,0.30107950933248373,0.06125624253983302,0.2398232667926507,0.2166698717977672,1.0580383227660508,0.29138787329818816,0.7565839586238643,0.4220000084588363,,2.990068388810325,,,35.029998779296875,,,,,,,1035.1257278442383,5.54218621020276,966.8091983795166,5.17641138947947,4.44,3.97,3.67,3.43,3.22,3.02,2.82,2.61,2.34,3.88,3.67,3.52,3.4,3.29,3.19,3.08,2.96,2.8,"Chris Sale","10603",519242
"Spencer Strider","ATL",9.594300270080566,5.904399871826172,13.041999816894531,3.1526997910914085,22.68000030517578,22.68000030517578,0,0,,128.58050537109375,521.8359985351562,98.59569549560547,48.69771957397461,45.041748046875,14.49816608428955,40.10282897949219,0.49939703941345215,5.1145148277282715,168.8819122314453,11.820899332261495,2.8069998618668484,4.211221914489082,1.0147999837301933,0.3236302453366825,0.0768494873716353,0.2467807579650472,0.20686495276162872,1.0786901488277907,0.2867887657901508,0.7601349228581329,0.37399998666629397,,3.060432334269323,,,110.56999969482422,,,,,,,718.9312816619874,5.591293015897655,656.5381608009338,5.106047444020472,4.73,4.17,3.8,3.52,3.27,3.04,2.81,2.56,2.26,4.02,3.79,3.63,3.5,3.38,3.26,3.14,3.01,2.84,"Spencer Strider","27498",675911
"Roki Sasaki","LAD",10.365400314331055,6.280300140380859,13.998000144958496,3.188900147630525,24.299999237060547,24.299999237060547,0,0,,138.50999450683594,565.8090209960938,109.6085205078125,53.26478958129883,49.077171325683594,14.892903327941895,43.48136520385742,0.3830527067184448,6.524343490600586,177.52056884765625,11.534800252627655,2.8252999953400706,4.082681581302043,0.9677000596867537,0.3137464449314282,0.07684813000561476,0.23689831492581348,0.21250061388460942,1.1052623766013825,0.2928837131771247,0.7548792439056707,0.40200000226531973,,3.08405779575098,,,97.79000091552734,,,,,,,761.8331067085267,5.500203140004656,703.9662408828735,5.082421982538816,4.76,4.21,3.85,3.57,3.33,3.1,2.88,2.63,2.33,4.08,3.84,3.68,3.55,3.43,3.31,3.2,3.06,2.89,"Roki Sasaki","sa3025686",808963
"Zack Wheeler","PHI",13.61340045928955,9.272899627685547,20.899499893188477,3.232899754006049,32,32,0,0,,198.51800537109375,809.947021484375,171.49818420410156,77.88964080810547,71.30986785888672,21.281129837036133,48.57514953613281,0.8180464506149292,8.662383079528809,214.91778564453125,9.743499423062556,2.2021999717757224,4.424438991889542,0.9647999846426724,0.2653479547966673,0.059973242999412514,0.20537471179725478,0.2278411349136241,1.1085812258129775,0.2908305504415522,0.7472350129810641,0.42799999932178723,,3.259830073668546,,,21.34000015258789,,,,,,,1019.5030372619631,5.1355696192704805,974.0583124160767,4.906649704621249,4.61,4.17,3.88,3.65,3.44,3.25,3.05,2.84,2.56,4.02,3.84,3.71,3.61,3.51,3.42,3.32,3.21,3.07,"Zack Wheeler","10310",554430
"Framber Valdez","HOU",12.298999786376953,8.782699584960938,19.4768009185791,3.285399862847106,29.15999984741211,29.15999984741211,0,0,,184.5924072265625,766.8980102539062,172.8051300048828,75.00399780273438,67.38442993164062,15.046331405639648,52.971866607666016,0.3520061671733856,8.599993705749512,180.748779296875,8.812599814440203,2.5826999421696213,3.4121655677264218,0.7335999605040666,0.235688157851697,0.06907289613403479,0.16661526171766222,0.24500031654783053,1.2231109610886528,0.30961567883122043,0.7365122763462763,0.5670000064465517,,3.268435925363128,,,63,,,,,,,908.4025768280028,4.92112644542882,904.1417055130005,4.8980438529266666,4.79,4.33,4.02,3.78,3.56,3.36,3.15,2.93,2.64,4.16,3.97,3.84,3.74,3.64,3.54,3.44,3.33,3.18,"Framber Valdez","17295",664285
"Shohei Ohtani","LAD",8.817000389099121,5.662499904632568,11.917799949645996,3.333099825930654,21.059999465942383,21.059999465942383,0,0,,120.78130340576172,497.24700927734375,100.806884765625,48.66144561767578,44.730682373046875,13.445642471313477,37.3589973449707,0.4246489405632019,5.693975448608398,141.19468688964844,10.521100088958109,2.7837998649110194,3.7794024712672374,1.001899953300625,0.2839528126973528,0.07513166826134374,0.20882114443600905,0.22194673788771418,1.1439343525415597,0.29163799417944636,0.749982818325101,0.41999999447642306,,3.3450082104269745,,,1.5299999713897705,,,,,,,619.5327978134156,5.129376653041332,582.343620300293,4.821471567862821,5.02,4.43,4.04,3.74,3.48,3.24,2.99,2.73,2.41,4.25,4.01,3.85,3.72,3.59,3.48,3.36,3.22,3.04,"Shohei Ohtani","19755",660271
"Shane McClanahan","TBR",10.086099624633789,7.919400215148926,15.003000259399414,3.352299862029896,25.920000076293945,25.920000076293945,0,0,,151.05050659179688,620.0759887695312,132.47923278808594,61.49601364135742,56.26295471191406,17.051923751831055,42.37973403930664,0.39870887994766235,4.368435382843018,165.1519012451172,9.840199445493122,2.525099815682932,3.896954640912588,1.0159999938379145,0.2663413907912189,0.06834603307798501,0.19799535771323387,0.23107065158444065,1.1576192015028215,0.29511692124118594,0.750816286156319,0.4509999981667089,,3.3757853626494523,,,120.29000091552734,,,,,,,753.6483756065368,4.989379993562135,723.6368184089661,4.790694415640343,4.96,4.42,4.06,3.78,3.54,3.31,3.08,2.84,2.53,4.3,4.06,3.89,3.76,3.63,3.51,3.39,3.25,3.07,"Shane McClanahan","21483",663556
"Yoshinobu Yamamoto","LAD",11.344400405883789,7.638999938964844,15.371700286865234,3.4381997394143577,27.540000915527344,27.540000915527344,0,0,,158.5924072265625,653.1810302734375,143.12503051757812,66.2422866821289,60.585819244384766,17.120929718017578,42.53095626831055,0.3834172487258911,5.267251491546631,166.0656280517578,9.424099669101263,2.4135998255450133,3.9045825117149295,0.9715999029009637,0.2542413517156778,0.06511358152961982,0.18912777018605798,0.23642069975377844,1.1706486460014671,0.29844911317730805,0.7385499923529901,0.46299999189382435,,3.3798282865947837,,,60.2400016784668,,,,,,,779.6079314231872,4.915796065252053,759.1265826225281,4.786651491695011,5.01,4.49,4.15,3.88,3.64,3.42,3.2,2.96,2.65,4.34,4.12,3.97,3.85,3.73,3.62,3.51,3.38,3.21,"Yoshinobu Yamamoto","33825",808967
"Sonny Gray","STL",11.881600379943848,9.82759952545166,18.22439956665039,3.4906998154729223,30.780000686645508,30.780000686645508,0,0,,184.7655029296875,764.4409790039062,163.7203369140625,78.11064147949219,71.66232299804688,20.100433349609375,54.73575210571289,0.4319091737270355,6.830280303955078,198.64138793945312,9.675899792481363,2.6661999190340375,3.629097624452309,0.9790999795850817,0.2598518308088218,0.07160232589445364,0.18824950491436815,0.23292953847247652,1.1823424045932907,0.29665374265378264,0.737435787261342,0.44599998742474933,,3.4301705329084227,,,114.16000366210938,,,,,,,906.9411941528318,4.9086067462386,875.106559753418,4.736309245381372,4.98,4.5,4.18,3.93,3.71,3.5,3.28,3.05,2.76,4.35,4.15,4,3.89,3.78,3.68,3.57,3.45,3.29,"Sonny Gray","12768",543243
"Cole Ragans","KCR",12.347200393676758,9.20930004119873,18.482900619506836,3.311899856379099,30.780000686645508,30.780000686645508,0,0,,182.63259887695312,756.8690185546875,149.39837646484375,73.16059112548828,67.2067642211914,20.01856231689453,66.790771484375,0.5457025766372681,6.428088188171387,215.45370483398438,10.617399935332998,3.291400040604862,3.2258005117426665,0.9865000112791283,0.28466445256989575,0.08824614278956516,0.1964183097803306,0.21853044941747685,1.1837380033937643,0.2886795991836392,0.7601304967848538,0.4060000121768876,,3.4347258623435306,,,47.290000915527344,,,,,,,928.0679670333861,5.081611786396702,864.1725149154663,4.731753915946265,4.76,4.29,3.97,3.72,3.5,3.3,3.09,2.86,2.58,4.16,3.95,3.81,3.69,3.58,3.48,3.37,3.25,3.09,"Cole Ragans","21846",666142
"Blake Snell","LAD",12.236700057983398,7.9745001792907715,16.755300521850586,3.3932001328910455,29.15999984741211,29.15999984741211,0,0,,169.98219299316406,710.6279907226562,132.62449645996094,69.63981628417969,64.08706665039062,18.120101928710938,76.17091369628906,0.41145360469818115,5.051854610443115,216.1134796142578,11.442500430657113,4.03300022899558,2.83721789758164,0.9594000082406092,0.30411619361416703,0.10718816974663334,0.1969280238675337,0.21071400702855927,1.228336959769938,0.28975863318102396,0.7586418082873587,0.4039999984539973,,3.4429950410786057,,,42.97999954223633,,,,,,,878.7259379386901,5.169517597493454,802.9082942008972,4.723484737211189,4.89,4.39,4.07,3.81,3.58,3.37,3.15,2.92,2.62,4.24,4.04,3.89,3.77,3.66,3.56,3.45,3.32,3.16,"Blake Snell","13543",605483
"Max Fried","NYY",11.887999534606934,8.692399978637695,17.785200119018555,3.3691000319684106,29.15999984741211,29.15999984741211,0,0,,175.84039306640625,732.9739990234375,166.51702880859375,72.84872436523438,65.82487487792969,16.37074089050293,50.530670166015625,0.5277412533760071,6.566714286804199,164.80738830566406,8.435300154218945,2.58630013026867,3.261531813534212,0.8379000151511523,0.22484752327537091,0.06893923963652067,0.15590828363885023,0.24637193419450013,1.2343449374151545,0.30351070875917685,0.7428010543414102,0.5170000073902622,,3.476402927193862,,,96.22000122070312,,,,,,,825.2371440887453,4.69310338596146,824.7049570083618,4.690076851095934,4.91,4.43,4.11,3.85,3.63,3.41,3.2,2.97,2.67,4.27,4.07,3.93,3.81,3.71,3.6,3.5,3.37,3.21,"Max Fried","13743",608331
"Cristopher Sánchez","PHI",11.406499862670898,8.837200164794922,16.58930015563965,3.434600170151452,29.15999984741211,29.15999984741211,0,0,,169.77780151367188,707.4080200195312,165.1231689453125,71.8122329711914,64.79098510742188,15.672377586364746,45.73814010620117,0.39544108510017395,5.790134429931641,151.01358032226562,8.005299931928635,2.424600020060112,3.301699193968563,0.8308000045926153,0.21347450982828298,0.06465595358240123,0.14881855624588175,0.2517582988076769,1.24198397653614,0.30550427081232256,0.7360210167468225,0.5399999870580011,,3.49808126614435,,,164.72000122070312,,,,,,,781.7075846672058,4.604297957081606,792.5904359817505,4.668398512145445,5.03,4.52,4.19,3.93,3.7,3.48,3.26,3.02,2.72,4.37,4.16,4.01,3.89,3.78,3.68,3.57,3.44,3.27,"Cristopher Sanchez","20778",650911
