Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"José Ramírez","CLE",137.79,617.37,550.476,154.169,89.3919,34.1099,2.3022,28.3653,91.1016,88.3099,57.7241,14.1995,75.3051,3.7042,4.2529,1.2123,,28.5074,6.8616,0.280065,0.0935001,0.121977,0.766536,0.349907,0.50498,0.35894,0.854887,0.224915,5.72333,0.278908,0.969,1.84422,96.4479,24.2292,137.52,2.81322,-0.701,29.317208290100098,1.0210000276565552,5.25875,4.96999979019165,,,,,,,907.1,6.573188405,907.1,6.573188405,0.325,0.336,0.344,0.351,0.358,0.365,0.372,0.381,0.394,0.341,0.347,0.351,0.355,0.359,0.362,0.366,0.371,0.378,"Jose Ramirez","13510",608070
"Austin Riley","ATL",139.08,622.554,557.219,149.345,88.4234,29.0202,2.1401,29.761,88.2074,88.8668,50.9871,1.2451,151.173,8.7158,4.2767,1.3549,,1.9956,0.6199,0.268018,0.0818999,0.242828,0.337275,0.336523,0.488009,0.353776,0.824532,0.219991,3.34132,0.31423,0.062,-1.01119,94.6704,21.8453,126.589,-0.949192,-3.475,18.845422863960266,-1.1569998264312744,3.96794,29.829999923706055,,,,,,,835.9,6.013669064,835.9,6.013669064,0.32,0.331,0.339,0.346,0.353,0.36,0.367,0.376,0.389,0.335,0.341,0.346,0.35,0.353,0.357,0.361,0.366,0.373,"Austin Riley","18360",663586
"Alex Bregman","BOS",142.87,632.477,555.951,149.125,93.1023,30.5108,2.9907,22.5208,82.66,82.9783,64.3861,0.6325,80.3348,6.9572,4.3557,0.8271,,3.3556,1.0713,0.268234,0.1018,0.127016,0.801472,0.349035,0.455399,0.348996,0.804434,0.187165,3.70229,0.27676,-1.404,-1.05565,93.7458,19.7599,123.486,-2.45965,-1.351,14.536818265914917,1.03000009059906,3.78521,118.70999908447266,,,,,,,817.5,5.716783216,817.5,5.716783216,0.317,0.327,0.335,0.342,0.348,0.355,0.362,0.37,0.382,0.331,0.337,0.341,0.345,0.349,0.352,0.356,0.361,0.368,"Alex Bregman","17678",608324
"Manny Machado","SDP",137.92,595.722,541.515,144.633,89.2388,26.8992,0.5476,27.9472,76.2989,89.0969,47.5386,4.1701,117.671,2.3829,3.8471,0.4385,,6.785,2.0381,0.267089,0.0797999,0.197527,0.403995,0.326826,0.473613,0.342033,0.800439,0.206524,3.46724,0.291901,-0.667,-0.533843,84.9597,15.2733,123.555,-1.20084,-0.498,15.579207062721252,0.613999992609024,3.72124,38.220001220703125,,,,,,,774.9,5.615217391,774.9,5.615217391,0.308,0.319,0.327,0.334,0.341,0.348,0.355,0.365,0.378,0.323,0.329,0.334,0.338,0.342,0.346,0.35,0.355,0.362,"Manny Machado","11493",592518
"Isaac Paredes","HOU",131.77,580.322,496.875,122.532,73.9839,24.5188,1.0046,23.0247,77.3647,72.3072,66.0407,1.1606,96.5428,12.1868,3.965,1.2545,,1.8982,0.6226,0.246605,0.1138,0.166361,0.684056,0.346694,0.439012,0.343077,0.785706,0.192407,2.98869,0.260987,-0.859,-1.06467,83.2508,15.3658,126.663,-1.92367,-1.535,15.780879855155945,0.66100013256073,3.69602,192.08999633789062,,,,,,,721.2,5.463636363,721.2,5.463636363,0.308,0.32,0.328,0.335,0.342,0.349,0.357,0.366,0.379,0.322,0.329,0.334,0.338,0.343,0.347,0.351,0.357,0.364,"Isaac Paredes","20036",670623
"Matt Chapman","SFG",136.87,585.525,512.792,123.765,70.239,29.2582,1.8279,22.4395,70.6554,76.166,61.3044,1.7566,150.299,7.0263,3.8817,0.5203,,8.3357,2.749,0.241354,0.1047,0.256692,0.407882,0.328365,0.436819,0.331983,0.765184,0.195464,4.15812,0.294605,1.189,-0.526009,78.7689,10.2754,115.081,0.662991,1.508,11.222179472446442,3.788999915122986,3.56409,128.3800048828125,,,,,,,694.5,5.069343065,694.5,5.069343065,0.299,0.309,0.317,0.324,0.331,0.338,0.345,0.354,0.367,0.313,0.319,0.324,0.328,0.332,0.335,0.34,0.345,0.351,"Matt Chapman","16505",656305
"Junior Caminero","TBR",120.82,532.656,489.06,130.977,82.4402,22.0688,1.7816,24.6863,66.7781,78.1179,35.1553,2.1306,114.636,4.2613,3.8063,0.3732,,4.137,1.3136,0.267813,0.066,0.215215,0.30667,0.320118,0.471655,0.338826,0.791773,0.203842,3.66863,0.300643,-0.16,-0.649546,74.5907,12.2816,126.178,-0.809546,-0.062,15.14535653591156,1.3959999457001686,3.54219,73.23999786376953,,,,,,,676.6,5.591735537,676.6,5.591735537,0.299,0.311,0.321,0.329,0.337,0.346,0.355,0.365,0.381,0.312,0.321,0.327,0.333,0.338,0.344,0.35,0.357,0.367,"Junior Caminero","28163",691406
"Jazz Chisholm Jr.","NYY",130.55,558.791,502.34,124.601,75.9299,20.3077,2.272,26.0911,74.5858,75.869,46.3796,2.794,139.6,5.0291,3.9861,1.0558,,30.9207,8.8231,0.24804,0.0829999,0.249826,0.332231,0.315579,0.45333,0.330071,0.768909,0.205289,6.14654,0.289194,0.833,1.62777,74.3128,8.94654,115.963,2.46077,-1.494,12.66728949546814,0.6820001602172852,3.3025,22.760000228881836,,,,,,,698.5,5.332061068,698.5,5.332061068,0.294,0.306,0.314,0.322,0.329,0.336,0.344,0.354,0.367,0.309,0.316,0.321,0.325,0.33,0.334,0.338,0.344,0.352,"Jazz Chisholm Jr.","20454",665862
"Mark Vientos","NYM",140.13,586.96,530.044,132.422,76.7973,24.0038,1.1577,30.4636,74.9165,86.3153,46.3111,0.587,165.533,5.2826,4.3597,0.9622,,1.1082,0.3635,0.249833,0.0788999,0.282017,0.27977,0.314022,0.471909,0.33723,0.785931,0.222076,2.56912,0.30129,-1.197,-0.934263,81.4409,12.7794,120.159,-2.13126,-0.91,12.018260717391968,0.39299994707107544,3.30051,104.33999633789062,,,,,,,721.4,5.152857142,721.4,5.152857142,0.301,0.312,0.321,0.329,0.336,0.343,0.351,0.361,0.375,0.315,0.322,0.328,0.332,0.337,0.341,0.346,0.352,0.36,"Mark Vientos","22184",668901
"Jordan Westburg","BAL",121.48,514.884,468.459,124.239,75.4532,26.4527,3.5499,18.7836,63.6183,70.4011,36.1964,0,114.21,6.1786,3.4,0.6505,,7.1442,2.2933,0.265209,0.0703001,0.221817,0.316928,0.324005,0.457122,0.336906,0.781127,0.191913,5.03786,0.311203,0.005,-0.429911,71.306,11.0758,123.401,-0.424911,-0.834,13.36164703965187,0.4010000228881836,3.19403,90.23999786376953,,,,,,,636.9,5.263636363,636.9,5.263636363,0.3,0.312,0.32,0.328,0.336,0.343,0.351,0.361,0.376,0.314,0.322,0.327,0.332,0.336,0.341,0.346,0.352,0.36,"Jordan Westburg","27815",676059
